ID,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,856,GasA,Ex,Y,SBrkr,2,1,3,1,Gd,8,Attchd,2003,RFn,2,548,TA,TA,Y,NA,NA,2,2008,WD,Normal,208500
2,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,Gd,TA,Gd,1262,GasA,Ex,Y,SBrkr,2,0,3,1,TA,6,Attchd,1976,RFn,2,460,TA,TA,Y,NA,NA,5,2007,WD,Normal,181500
3,RL,68,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Mn,920,GasA,Ex,Y,SBrkr,2,1,3,1,Gd,6,Attchd,2001,RFn,2,608,TA,TA,Y,NA,NA,9,2008,WD,Normal,223500
4,RL,60,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,BrkTil,TA,Gd,No,756,GasA,Gd,Y,SBrkr,1,0,3,1,Gd,7,Detchd,1998,Unf,3,642,TA,TA,Y,NA,NA,2,2006,WD,Abnorml,140000
5,RL,84,14260,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,1145,GasA,Ex,Y,SBrkr,2,1,4,1,Gd,9,Attchd,2000,RFn,3,836,TA,TA,Y,NA,NA,12,2008,WD,Normal,250000
6,RL,85,14115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,Wood,Gd,TA,No,796,GasA,Ex,Y,SBrkr,1,1,1,1,TA,5,Attchd,1993,Unf,2,480,TA,TA,Y,MnPrv,Shed,10,2009,WD,Normal,143000
7,RL,75,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,1686,GasA,Ex,Y,SBrkr,2,0,3,1,Gd,7,Attchd,2004,RFn,2,636,TA,TA,Y,NA,NA,8,2007,WD,Normal,307000
8,RL,NA,10382,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,Mn,1107,GasA,Ex,Y,SBrkr,2,1,3,1,TA,7,Attchd,1973,RFn,2,484,TA,TA,Y,NA,Shed,11,2009,WD,Normal,200000
9,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,TA,TA,BrkTil,TA,TA,No,952,GasA,Gd,Y,FuseF,2,0,2,2,TA,8,Detchd,1931,Unf,2,468,Fa,TA,Y,NA,NA,4,2008,WD,Abnorml,129900
10,RL,50,7420,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,991,GasA,Ex,Y,SBrkr,1,0,2,2,TA,5,Attchd,1939,RFn,1,205,Gd,TA,Y,NA,NA,1,2008,WD,Normal,118000
11,RL,70,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,1040,GasA,Ex,Y,SBrkr,1,0,3,1,TA,5,Detchd,1965,Unf,1,384,TA,TA,Y,NA,NA,2,2008,WD,Normal,129500
12,RL,85,11924,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Ex,TA,PConc,Ex,TA,No,1175,GasA,Ex,Y,SBrkr,3,0,4,1,Ex,11,BuiltIn,2005,Fin,3,736,TA,TA,Y,NA,NA,7,2006,New,Partial,345000
13,RL,NA,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,1962,1962,Hip,CompShg,HdBoard,Plywood,TA,TA,CBlock,TA,TA,No,912,GasA,TA,Y,SBrkr,1,0,2,1,TA,4,Detchd,1962,Unf,1,352,TA,TA,Y,NA,NA,9,2008,WD,Normal,144000
14,RL,91,10652,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,1494,GasA,Ex,Y,SBrkr,2,0,3,1,Gd,7,Attchd,2006,RFn,3,840,TA,TA,Y,NA,NA,8,2007,New,Partial,279500
15,RL,NA,10920,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,1253,GasA,TA,Y,SBrkr,1,1,2,1,TA,5,Attchd,1960,RFn,1,352,TA,TA,Y,GdWo,NA,5,2008,WD,Normal,157000
16,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,TA,TA,No,832,GasA,Ex,Y,FuseA,1,0,2,1,TA,5,Detchd,1991,Unf,2,576,TA,TA,Y,GdPrv,NA,7,2007,WD,Normal,132000
17,RL,NA,11241,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,1004,GasA,Ex,Y,SBrkr,1,0,2,1,TA,5,Attchd,1970,Fin,2,480,TA,TA,Y,NA,Shed,3,2010,WD,Normal,149000
18,RL,72,10791,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,TA,TA,Slab,NA,NA,NA,0,GasA,TA,Y,SBrkr,2,0,2,2,TA,6,CarPort,1967,Unf,2,516,TA,TA,Y,NA,Shed,10,2006,WD,Normal,90000
